Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,TD,Y/A,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
42,42,9,10,2016-11-13,KAN,@,CAR,W 20-17,*,6,3,31,10.3,0,50.0,5.2,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
43,43,10,11,2016-11-20,KAN,,TAM,L 17-19,*,9,7,108,15.4,0,77.8,12.0,1,-5,0,-5.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,44,83.0,0,0.0,0,0.0
44,44,11,12,2016-11-27,KAN,@,DEN,W 30-27 (OT),*,15,8,101,12.6,0,53.3,6.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,77,90.6,0,0.0,0,0.0
45,45,12,13,2016-12-04,KAN,@,ATL,W 29-28,*,8,8,140,17.5,0,100.0,17.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,39,79.6,0,0.0,0,0.0
46,46,13,14,2016-12-08,KAN,,OAK,W 21-13,*,8,5,101,20.2,0,62.5,12.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,41,74.5,0,0.0,0,0.0
47,47,14,15,2016-12-18,KAN,,TEN,L 17-19,*,5,3,41,13.7,0,60.0,8.2,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0
48,48,15,16,2016-12-25,KAN,,DEN,W 33-10,*,12,11,160,14.5,1,91.7,13.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,70,92.1,0,0.0,0,0.0
49,49,16,17,2017-01-01,KAN,@,SDG,W 37-27,,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,47,77.0,0,0.0,0,0.0
50,50,1,1,2017-09-07,KAN,@,NWE,W 42-27,*,7,5,40,8.0,0,71.4,5.7,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,67,98.5,0,0.0,0,0.0
51,51,2,2,2017-09-17,KAN,,PHI,W 27-20,*,10,8,103,12.9,1,80.0,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,51,96.2,0,0.0,0,0.0
52,52,3,3,2017-09-24,KAN,@,LAC,W 24-10,*,1,1,1,1.0,0,100.0,1.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
53,53,4,4,2017-10-02,KAN,,WAS,W 29-20,*,8,7,111,15.9,1,87.5,13.9,1,3,0,3.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,71,93.4,0,0.0,0,0.0
54,54,5,5,2017-10-08,KAN,@,HOU,W 42-34,*,11,8,98,12.3,0,72.7,8.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,39,50.6,0,0.0,0,0.0
55,55,6,6,2017-10-15,KAN,,PIT,L 13-19,*,7,4,37,9.3,0,57.1,5.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,52,96.3,0,0.0,0,0.0
56,56,7,7,2017-10-19,KAN,@,OAK,L 30-31,*,5,4,33,8.3,1,80.0,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,58,93.5,0,0.0,0,0.0
57,57,8,8,2017-10-30,KAN,,DEN,W 29-19,*,10,7,133,19.0,1,70.0,13.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,58,93.5,0,0.0,0,0.0
58,58,9,9,2017-11-05,KAN,@,DAL,L 17-28,*,9,7,73,10.4,1,77.8,8.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
59,59,10,11,2017-11-19,KAN,@,NYG,L 9-12 (OT),*,14,8,109,13.6,0,57.1,7.8,0,0,0,,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0
